id,tool_call,Usage
Q-00794,"request_supply(category='scientific',urgency='emergency')",Public
Q-00365,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')",Public
Q-01558,"get_module_status(module='tucan',system='life_support')",Public
Q-03295,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')",Private
Q-00491,"control_system(module='jaguar',system='heating',action='deactivate')",Public
Q-00149,"send_message(recipient='all_crew',priority='medium')",Public
Q-01229,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')",Public
Q-03457,"schedule_maintenance(module='quetzal',task='sensor_repair',priority='routine')",Private
Q-03300,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')",Private
Q-03530,no_action,Private
Q-01744,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')",Public
Q-03354,"get_module_status(module='jaguar',system='life_support')",Private
Q-03537,no_action,Private
Q-01427,"send_alert(module='vicuna',severity='critical',reason='radiation_spike')",Public
Q-00735,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')",Public
Q-01301,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')",Public
Q-03563,"calculate_trajectory(maneuver='orbit_adjustment',urgency='immediate')",Private
Q-00439,"send_alert(module='condor',severity='high',reason='radiation_spike')",Public
Q-03423,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')",Private
Q-00262,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')",Public
Q-03390,"send_alert(module='vicuna',severity='high',reason='radiation_spike')",Private
Q-00808,"send_alert(module='jaguar',severity='high',reason='pressure_drop')",Public
Q-03268,"send_alert(module='jaguar',severity='high',reason='pressure_drop')",Private
Q-00732,"send_alert(module='tucan',severity='critical',reason='abnormal_temperature')",Public
Q-02528,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')",Public
Q-00693,"send_alert(module='vicuna',severity='medium',reason='power_fluctuation')",Public
Q-03277,"schedule_maintenance(module='condor',task='power_cell_swap',priority='routine')",Private
Q-00809,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')",Public
Q-00140,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')",Public
Q-00210,"send_alert(module='condor',severity='critical',reason='power_fluctuation')",Public
Q-01664,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')",Public
Q-03470,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')",Private
Q-00685,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')",Public
Q-01861,"calculate_trajectory(maneuver='debris_avoidance',urgency='immediate')",Public
Q-01742,"request_supply(category='equipment',urgency='expedited')",Public
Q-03261,"request_supply(category='food',urgency='expedited')",Private
Q-02288,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')",Public
Q-02307,"schedule_maintenance(module='jaguar',task='hull_inspection',priority='urgent')",Public
Q-03538,no_action,Private
Q-03509,"activate_protocol(protocol_id='MASA-SEC-015',scope='station_wide')",Private
Q-01037,"request_supply(category='scientific',urgency='emergency')",Public
Q-03501,"send_alert(module='vicuna',severity='high',reason='structural_damage')",Private
Q-01652,"send_message(recipient='medical_officer',priority='medium')",Public
Q-03335,"schedule_maintenance(module='quetzal',task='software_update',priority='urgent')",Private
Q-00703,"get_module_status(module='vicuna',system='structural')",Public
Q-03253,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')",Private
Q-03499,"send_alert(module='colibri',severity='medium',reason='power_fluctuation')",Private
Q-01233,"schedule_maintenance(module='jaguar',task='system_calibration',priority='urgent')",Public
Q-03425,"get_telemetry(module='tucan',metric='radiation',timeframe_hours=24)",Private
Q-03403,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')",Private
Q-03439,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')",Private
Q-03518,no_action,Private
Q-03372,"request_supply(category='medical',urgency='expedited')",Private
Q-01055,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')",Public
Q-03273,"schedule_maintenance(module='colibri',task='power_cell_swap',priority='urgent')",Private
Q-03067,"schedule_maintenance(module='condor',task='power_cell_swap',priority='urgent')",Public
Q-00161,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')",Public
Q-03197,"get_telemetry(module='colibri',metric='power',timeframe_hours=24)",Public
Q-03321,"send_alert(module='colibri',severity='medium',reason='radiation_spike')",Private
Q-03299,"send_alert(module='jaguar',severity='critical',reason='pressure_drop')",Private
Q-03102,"control_system(module='tucan',system='cooling',action='activate')",Public
Q-03351,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')",Private
Q-01163,"send_message(recipient='specialist_1',priority='urgent')",Public
Q-00224,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')",Public
Q-03429,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')",Private
Q-03502,"send_alert(module='condor',severity='critical',reason='oxygen_leak')",Private
Q-01246,"send_alert(module='condor',severity='high',reason='pressure_drop')",Public
Q-03448,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')",Private
Q-02884,no_action,Public
Q-02608,"send_alert(module='jaguar',severity='high',reason='structural_damage')",Public
Q-03252,"request_supply(category='medical',urgency='expedited')",Private
Q-03319,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')",Private
Q-03107,"calculate_trajectory(maneuver='orbit_adjustment',urgency='planned')",Public
Q-02298,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')",Public
Q-00982,"calculate_trajectory(maneuver='station_keeping',urgency='planned')",Public
Q-03388,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')",Private
Q-00077,"send_alert(module='tucan',severity='high',reason='pressure_drop')",Public
Q-00259,"send_alert(module='vicuna',severity='high',reason='structural_damage')",Public
Q-02570,"send_message(recipient='pilot',priority='medium')",Public
