id,tool_call
Q-02301,"control_system(module='tucan',system='filtration',action='deactivate')"
Q-03142,"request_supply(category='medical',urgency='expedited')"
Q-02729,"get_crew_status(module='tucan',info='health')"
Q-01971,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-00507,"calculate_trajectory(maneuver='debris_avoidance',urgency='planned')"
Q-03102,"control_system(module='tucan',system='cooling',action='activate')"
Q-01773,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-02173,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-01037,"request_supply(category='scientific',urgency='emergency')"
Q-01652,"send_message(recipient='medical_officer',priority='medium')"
Q-02570,"send_message(recipient='pilot',priority='medium')"
Q-01672,"request_supply(category='equipment',urgency='expedited')"
Q-03053,"get_module_status(module='condor',system='power')"
Q-02288,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')"
Q-03021,no_action
Q-01260,"get_telemetry(module='jaguar',metric='oxygen',timeframe_hours=1)"
Q-01122,"control_system(module='colibri',system='lighting',action='increase')"
Q-00077,"send_alert(module='tucan',severity='high',reason='pressure_drop')"
Q-00895,"get_telemetry(module='condor',metric='oxygen',timeframe_hours=12)"
Q-02255,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-00858,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-01879,"send_alert(module='quetzal',severity='medium',reason='power_fluctuation')"
Q-02849,no_action
Q-01128,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-01664,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-02105,"send_alert(module='vicuna',severity='high',reason='pressure_drop')"
Q-02751,"get_telemetry(module='colibri',metric='pressure',timeframe_hours=6)"
Q-01366,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-00103,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Q-02472,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-03020,no_action
Q-02100,"send_alert(module='colibri',severity='high',reason='oxygen_leak')"
Q-00008,"send_alert(module='vicuna',severity='critical',reason='abnormal_temperature')"
Q-03107,"calculate_trajectory(maneuver='orbit_adjustment',urgency='planned')"
Q-00740,"send_alert(module='jaguar',severity='critical',reason='abnormal_temperature')"
Q-03233,"request_supply(category='scientific',urgency='routine')"
Q-02307,"schedule_maintenance(module='jaguar',task='hull_inspection',priority='urgent')"
Q-01737,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-01067,"send_alert(module='vicuna',severity='high',reason='radiation_spike')"
Q-00935,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-02696,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-02192,"control_system(module='jaguar',system='cooling',action='activate')"
Q-00809,"activate_protocol(protocol_id='MASA-SEC-010',scope='module_only')"
Q-01588,"send_alert(module='quetzal',severity='high',reason='pressure_drop')"
Q-02381,"activate_protocol(protocol_id='MASA-SEC-009',scope='module_only')"
Q-03004,no_action
Q-01900,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')"
Q-01923,"send_alert(module='colibri',severity='critical',reason='pressure_drop')"
Q-01661,"get_module_status(module='tucan',system='power')"
Q-00876,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-00588,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Q-03046,"calculate_trajectory(maneuver='orbit_adjustment',urgency='planned')"
Q-02312,"send_alert(module='quetzal',severity='medium',reason='power_fluctuation')"
Q-02996,no_action
Q-00548,"get_module_status(module='vicuna',system='life_support')"
Q-01535,"calculate_trajectory(maneuver='station_keeping',urgency='planned')"
Q-01738,"control_system(module='colibri',system='ventilation',action='increase')"
Q-02327,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')"
Q-02884,no_action
Q-01534,"send_alert(module='jaguar',severity='medium',reason='power_fluctuation')"
Q-02862,no_action
Q-01300,"activate_protocol(protocol_id='MASA-SEC-008',scope='module_only')"
Q-00958,"get_telemetry(module='quetzal',metric='power',timeframe_hours=24)"
Q-01131,"send_alert(module='quetzal',severity='high',reason='oxygen_leak')"
Q-01301,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-02904,no_action
Q-00105,"get_telemetry(module='jaguar',metric='humidity',timeframe_hours=6)"
Q-01927,"send_alert(module='vicuna',severity='medium',reason='power_fluctuation')"
Q-02965,no_action
Q-01010,"send_alert(module='colibri',severity='medium',reason='power_fluctuation')"
Q-01318,"send_alert(module='condor',severity='critical',reason='power_fluctuation')"
Q-02367,"activate_protocol(protocol_id='MASA-SEC-004',scope='station_wide')"
Q-01636,"get_telemetry(module='jaguar',metric='pressure',timeframe_hours=6)"
Q-02869,no_action
Q-02400,"send_alert(module='colibri',severity='high',reason='pressure_drop')"
Q-01456,"send_alert(module='colibri',severity='medium',reason='power_fluctuation')"
Q-02423,"activate_protocol(protocol_id='MASA-SEC-017',scope='module_only')"
Q-03092,"schedule_maintenance(module='jaguar',task='filter_replacement',priority='urgent')"
Q-00685,"activate_protocol(protocol_id='MASA-SEC-002',scope='station_wide')"
Q-02422,"send_message(recipient='specialist_1',priority='high')"
Q-00075,"activate_protocol(protocol_id='MASA-SEC-015',scope='station_wide')"
Q-00839,"activate_protocol(protocol_id='MASA-SEC-011',scope='module_only')"
Q-02612,"send_alert(module='quetzal',severity='high',reason='radiation_spike')"
Q-03040,no_action
Q-03163,"get_module_status(module='quetzal',system='power')"
Q-00539,"send_alert(module='jaguar',severity='high',reason='oxygen_leak')"
Q-03224,"get_module_status(module='vicuna',system='structural')"
Q-01740,"schedule_maintenance(module='quetzal',task='filter_replacement',priority='routine')"
Q-00808,"send_alert(module='jaguar',severity='high',reason='pressure_drop')"
Q-01327,"get_module_status(module='tucan',system='communications')"
Q-02014,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')"
Q-03024,no_action
Q-01246,"send_alert(module='condor',severity='high',reason='pressure_drop')"
Q-01173,"send_alert(module='colibri',severity='critical',reason='oxygen_leak')"
Q-01127,"send_alert(module='condor',severity='high',reason='oxygen_leak')"
Q-00945,"activate_protocol(protocol_id='MASA-SEC-006',scope='station_wide')"
Q-01769,"activate_protocol(protocol_id='MASA-SEC-003',scope='module_only')"
Q-00643,"send_alert(module='quetzal',severity='critical',reason='radiation_spike')"
Q-01048,"request_supply(category='scientific',urgency='emergency')"
Q-00771,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')"
Q-02500,"activate_protocol(protocol_id='MASA-SEC-018',scope='module_only')"
Q-01558,"get_module_status(module='tucan',system='life_support')"
Q-02952,no_action
Q-03039,no_action
Q-00637,"send_alert(module='tucan',severity='medium',reason='radiation_spike')"
Q-01742,"request_supply(category='equipment',urgency='expedited')"
Q-02374,"send_alert(module='colibri',severity='critical',reason='oxygen_leak')"
Q-00677,"activate_protocol(protocol_id='MASA-SEC-012',scope='station_wide')"
Q-01098,"activate_protocol(protocol_id='MASA-SEC-001',scope='station_wide')"
